id,title,description,category,badge,filename,localPath,sourceUrl
ugc,UGC,Realistic social media videos,UGC,False,ugc.mp4,/assets/higgsfield/marketing-studio/product/ugc.mp4,https://static.higgsfield.ai/marketing-studio-presets/ugc.mp4
gadget-saved-me,Gadget Saved Me,Turn product features into a creator-led recommendation,TikTok,True,ugc_gadget_saved_me.mp4,/assets/higgsfield/marketing-studio/product/ugc_gadget_saved_me.mp4,https://static.higgsfield.ai/ms-modes/ugc_gadget_saved_me.mp4
giant-figure,Giant Figure,"Oversized, scroll-stopping product moments",UGC,False,giant_figure.mp4,/assets/higgsfield/marketing-studio/product/giant_figure.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
unboxing-try-on,Unboxing Try On,Unbox and try on in one take,UGC,False,unboxing_try_on.mp4,/assets/higgsfield/marketing-studio/product/unboxing_try_on.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
unboxing-asmr,Unboxing ASMR,Satisfying ASMR unboxing experiences,UGC,False,unboxing_asmr.mp4,/assets/higgsfield/marketing-studio/product/unboxing_asmr.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
try-on-sneakers,Try On Sneakers,Virtual sneaker try-on videos,UGC,False,try_on_sneakers.mp4,/assets/higgsfield/marketing-studio/product/try_on_sneakers.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
couple-sharing,Couple Sharing,A couple sharing the product at home,TikTok,True,couple_sharing_home.mp4,/assets/higgsfield/marketing-studio/product/couple_sharing_home.mp4,https://static.higgsfield.ai/ms-modes/couple_sharing_home.mp4
selfie-testimonial,Selfie Testimonial,Authentic selfie-style testimonials,TikTok,True,ugc_selfie_testimonial.mp4,/assets/higgsfield/marketing-studio/product/ugc_selfie_testimonial.mp4,https://static.higgsfield.ai/ms-modes/ugc_selfie_testimonial.mp4
direct-to-camera,Direct to Camera,Creator speaking straight to camera,TikTok,True,ugc_direct_to_camera.mp4,/assets/higgsfield/marketing-studio/product/ugc_direct_to_camera.mp4,https://static.higgsfield.ai/ms-modes/ugc_direct_to_camera.mp4
secret-hack-reveal,Secret Hack Reveal,Reveal a clever product hack,TikTok,True,ugc_secret_hack_reveal.mp4,/assets/higgsfield/marketing-studio/product/ugc_secret_hack_reveal.mp4,https://static.higgsfield.ai/ms-modes/ugc_secret_hack_reveal.mp4
crush-test,Crush Test,Satisfying crush and durability tests,UGC,False,crush_test.mp4,/assets/higgsfield/marketing-studio/product/crush_test.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
hyper-motion,Hyper Motion,High-energy product motion bursts,Commercial,False,hyper_motion.mp4,/assets/higgsfield/marketing-studio/product/hyper_motion.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
camera-pov,Camera POV,Immersive point-of-view product moments,TikTok,True,camera_pov.mp4,/assets/higgsfield/marketing-studio/product/camera_pov.mp4,https://static.higgsfield.ai/ms-modes/camera_pov.mp4
classic-meets-modern,Classic Meets Modern,Blend timeless and contemporary styles,TikTok,True,classic_meets_modern.mp4,/assets/higgsfield/marketing-studio/product/classic_meets_modern.mp4,https://static.higgsfield.ai/ms-modes/classic_meets_modern.mp4
mess-to-fresh,Mess to Fresh,From messy to fresh transformations,TikTok,True,mess_to_fresh.mp4,/assets/higgsfield/marketing-studio/product/mess_to_fresh.mp4,https://static.higgsfield.ai/ms-modes/mess_to_fresh.mp4
mystery-box,Mystery Box,Suspenseful mystery box reveals,UGC,False,mystery_box.mp4,/assets/higgsfield/marketing-studio/product/mystery_box.mp4,https://static.higgsfield.ai/ms-modes/mystery_box.mp4
reboxing,Reboxing,Repackaging and reboxing reveals,UGC,False,reboxing.mp4,/assets/higgsfield/marketing-studio/product/reboxing.mp4,https://static.higgsfield.ai/ms-modes/reboxing.mp4
tv-spot,TV Spot,"Authentic stories, amplified",Commercial,False,tv_spot_mini.mp4,/assets/higgsfield/marketing-studio/product/tv_spot_mini.mp4,https://static.higgsfield.ai/marketing-studio-presets/tv-spot-mini.mp4
addiction,Addiction,Can't-put-it-down product obsession,Commercial,False,addiction.mp4,/assets/higgsfield/marketing-studio/product/addiction.mp4,REPLACE_WITH_LICENSED_VIDEO_URL_FROM_PROVIDED_HTML_OR_STOCK
